TRAIL_NO,TRAIL_NAME,TRAIL_TYPE,TRAIL_CN,BMP,EMP,SEGMENT_LENGTH,ADMIN_ORG,MANAGING_ORG,SECURITY_ID,ATTRIBUTESUBSET,NATIONAL_TRAIL_DESIGNATION,TRAIL_CLASS,TERRA_BASE_SYMBOLOGY,ACCESSIBILITY_STATUS,TRAIL_SURFACE,SURFACE_FIRMNESS,TYPICAL_TRAIL_GRADE,TYPICAL_TREAD_WIDTH,MINIMUM_TRAIL_WIDTH,TYPICAL_TREAD_CROSS_SLOPE,SPECIAL_MGMT_AREA,MVUM_SYMBOL,ALLOWED_TERRA_USE,ALLOWED_SNOW_USE,HIKER_PEDESTRIAN_MANAGED,HIKER_PEDESTRIAN_ACCPT_DISC,HIKER_PEDESTRIAN_RESTRICTED,PACK_SADDLE_MANAGED,PACK_SADDLE_ACCPT_DISC,PACK_SADDLE_RESTRICTED,BICYCLE_MANAGED,BICYCLE_ACCPT_DISC,BICYCLE_RESTRICTED,MOTORCYCLE_MANAGED,MOTORCYCLE_ACCPT_DISC,MOTORCYCLE_RESTRICTED,ATV_MANAGED,ATV_ACCPT_DISC,ATV_RESTRICTED,FOURWD_MANAGED,FOURWD_ACCPT_DISC,FOURWD_RESTRICTED,SNOWMOBILE_MANAGED,SNOWMOBILE_ACCPT_DISC,SNOWMOBILE_RESTRICTED,SNOWSHOE_MANAGED,SNOWSHOE_ACCPT_DISC,SNOWSHOE_RESTRICTED,XCOUNTRY_SKI_MANAGED,XCOUNTRY_SKI_ACCPT_DISC,XCOUNTRY_SKI_RESTRICTED,MOTOR_WATERCRAFT_MANAGED,MOTOR_WATERCRAFT_ACCPT_DISC,MOTOR_WATERCRAFT_RESTRICTED,NONMOTOR_WATERCRAFT_MANAGED,NONMOTOR_WATERCRAFT_ACCPT_DISC,NONMOTOR_WATERCRAFT_RESTRICTED,GIS_MILES,TERRA_MOTORIZED,SNOW_MOTORIZED,WATER_MOTORIZED,OBJECTID,SHAPE_Length
3313B,SOUTH CANYON POWERLINE,TERRA,724043010602,0,1.85,1.85,041553,041553,0415,TrailNFS_Basic,1,3,TC3,,NAT - NATIVE MATERIAL,,8-10%,,,,,99,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,N/A,N/A,N/A,1.829,N/A,N/A,N/A,635,4024.46478662148
1004C,CONTINENTAL DIVIDE,TERRA,691509010602,0,11.56,11.56,041551,041551,0415,TrailNFS_Basic,3,3,TC3,,NAT - NATIVE MATERIAL,,12-20%,TW03 - 18-24 INCHES,,,,99,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,N/A,N/A,N/A,11.628,N/A,N/A,N/A,636,26066.5430026147
7490,BLACK CY TO DRY CY CONNECTOR,TERRA,640385010602,0,1.749,1.749,041557,041557,0415,TrailNFS_Basic,1,2,TC1-2,NOT ACCESSIBLE,NAT - NATIVE MATERIAL,,8-10%,,,,,99,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,N/A,N/A,N/A,1.822,N/A,N/A,N/A,637,3795.66556576208
6051,NELSON SPRING/PINNACLE,TERRA,683580010602,0,5.327,5.327,041556,041556,0415,TrailNFS_Basic,1,2,TC1-2,,NAT - NATIVE MATERIAL,,,,,,,99,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,N/A,N/A,N/A,5.28,N/A,N/A,N/A,638,11853.8547825349
6008A,TETON CREST SOUTH,TERRA,56013010602,6.87,8.55,1.68,041556,041556,0415,TrailNFS_Basic,1,2,TC1-2,,NAT - NATIVE MATERIAL,,12-20%,TW03 - 18-24 INCHES,,,,99,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,N/A,N/A,N/A,1.703,N/A,N/A,N/A,639,3739.22974158846
5029,SWAB CREEK,TERRA,724044010602,0,0.81,0.81,041555,041555,0415,TrailNFS_Basic,1,2,TC1-2,,NAT - NATIVE MATERIAL,,8-10%,,,,,99,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,N/A,N/A,N/A,0.789,N/A,N/A,N/A,640,1776.6534898999
1109,LONE PINE - WEST FORK,TERRA,686910010602,0,3.92,3.92,041551,041551,0415,TrailNFS_Basic,1,2,TC1-2,,NAT - NATIVE MATERIAL,,12-20%,TW03 - 18-24 INCHES,,,,99,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,N/A,N/A,N/A,3.909,N/A,N/A,N/A,641,8826.94537218041
1004E,CONTINENTAL DIVIDE,TERRA,766889010602,0.88,1.07,0.19,041551,010201,0415,TrailNFS_Basic,3,2,TC1-2,,NAT - NATIVE MATERIAL,,10-12%,,,,,99,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,N/A,N/A,N/A,0.192,N/A,N/A,N/A,642,429.511202378582
1004D,CONTINENTAL DIVIDE,TERRA,767119010602,3.1,3.18,0.08,010201,010201,0415,TrailNFS_Basic,3,2,TC1-2,,NAT - NATIVE MATERIAL,,8-10%,,,,,99,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,N/A,N/A,N/A,0.081,N/A,N/A,N/A,643,180.517272287222
1004E,CONTINENTAL DIVIDE,TERRA,766889010602,1.07,2.18,1.11,010201,010201,0415,TrailNFS_Basic,3,2,TC1-2,,NAT - NATIVE MATERIAL,,10-12%,,,,,99,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,N/A,N/A,N/A,1.132,N/A,N/A,N/A,644,2502.64590183946
7488,JENKINS HOLLOW TO DRY CANYON,TERRA,1895010495,0,2.346,2.346,041557,041557,0415,TrailNFS_Basic,1,2,TC1-2,,NAT - NATIVE MATERIAL,,10-12%,TW03 - 18-24 INCHES,,,,99,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,N/A,N/A,N/A,2.45,N/A,N/A,N/A,645,5093.40521953459
2030,BUFFALO RIVER TRAIL,TERRA,213484010602,0,1.24,1.24,041552,041552,0415,TrailNFS_Basic,1,2,TC1-2,,NAT - NATIVE MATERIAL,,0-5%,TW03 - 18-24 INCHES,,,,99,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,N/A,N/A,N/A,1.218,N/A,N/A,N/A,646,2806.14635941567
7477,FOURMILE CANYON,TERRA,1892010495,0,3.64,3.64,041557,041557,0415,TrailNFS_Basic,1,3,TC3,,NAT - NATIVE MATERIAL,,10-12%,TW03 - 18-24 INCHES,,,,99,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,N/A,N/A,N/A,3.643,N/A,N/A,N/A,647,7903.30102731658
1214,MONTANA CANYON,TERRA,2127010495,0,2.06,2.06,041551,041551,0415,TrailNFS_Basic,1,2,TC1-2,,NAT - NATIVE MATERIAL,,20-30%,TW04 - 24-36 INCHES,,,,99,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,N/A,N/A,N/A,2.062,N/A,N/A,N/A,648,4641.56323960923
7440,DEEP CREEK TO RUBEN HOLLOW,TERRA,1890010495,1.23,1.612,0.382,041557,041557,0415,TrailNFS_Basic,1,3,TC3,,NAT - NATIVE MATERIAL,,10-12%,TW03 - 18-24 INCHES,,,,99,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,N/A,N/A,N/A,0.373,N/A,N/A,N/A,649,829.649885658807
5005,NF STUMP-BECHLER,TERRA,22013010602,0,1.308,1.308,041555,041555,0415,TrailNFS_Basic,1,2,TC1-2,,NAT - NATIVE MATERIAL,,8-10%,,,,,99,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,N/A,N/A,N/A,1.339,N/A,N/A,N/A,650,2875.81723544496
5001A,LANDER-STUMP CONNECTOR,TERRA,22007010602,0,0.116,0.116,041555,041555,0415,TrailNFS_Basic,1,2,TC1-2,,NAT - NATIVE MATERIAL,,8-10%,,,,,99,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,N/A,N/A,N/A,0.114,N/A,N/A,N/A,651,255.545867698638
